Source,,Cable,Colors,Target,,Notes
Kenton THRU-5,DIN OUT 1,blue,green,MicroKORG,DIN IN,
Kenton THRU-5,DIN OUT 2,red,yellow,Virus,DIN IN,
Kenton THRU-5,DIN OUT 3,green,white,System-1,DIN IN,
Kenton THRU-5,DIN OUT 4,,,,DIN IN,
Kenton THRU-5,DIN OUT 5,black,,Blofeld,DIN IN,